12084 1 356 52 166 4 170 3956 1677 40 916 71 82 12 16309 7 9 551 36 139 69 208 12 904 535 3 252 192 779 10940 6380 6 53 35 203 0 2 10 15 4 0 1 5 17 4 3 1 4 1 16 1 4 3 0 5 3 8 9 11 112 1 15 24 102 20 24 0 2 11 11
1 4014 10 1177 2 4 9 3 4 1400 8 162 14 476 12 67 17 40 77 137 4 8 3876 23 1982 2822 344 8097 4 19 1 51 7 0 86 2 365 47 106 3 0 1 2 1 3 2 17 1 130 1 0 2 34 31 65 1 1 82 13 25 40 541 1284 5 1 2 38 1 0 3
356 10 44431 206 27 34 944 3213 3675 14 1103 235 79 26 3348 27 67 10619 303 2368 18 1932 67 22102 279 9 26654 14223 1217 899 1336 10 79 50 1636 1 288 2323 124 0 3 12 81 45 12 28 9 2 13 46 0 120 1564 67 361 1 66 94 351 155 23 2465 5197 106 28 90 7 11 8 128
52 1177 206 1219 22 9 74 255 232 1389 102 228 35 512 393 75 2622 189 101 198 17 1363 2011 1604 3825 1069 822 14960 653 720 1509 43 34 193 282 16 583 253 1713 57 6 14 60 97 160 61 31 56 105 130 5 667 237 38 110 54 489 743 788 1720 90 512 3824 728 199 373 19 16 40 124
166 2 27 22 35451 36 928 1392 566 349 4879 72 2895 22 1287 197 0 17 18 12 37862 17 8 42 9803 0 54 37 15273 1002 71 4 51 10 258 17 6 1 39 1731 2 179 234 160 62 1495 29 961 2 132 20 1 2 6 4 1240 3 7 9 2975 5 9 15 3460 186 22 3 14 18 73
4 4 34 9 36 4118 2999 114 827 143 164 3 416 2 79 3722 0 20 2 7 51 13 11 35 584 3 29 51 71 29 22 0 3070 0 8 0 0 1 1 16 0 1 1 7 1 15 0 10 0 0 0 0 0 0 0 17 0 0 2 45 0 2 2 37 4 5 0 0 1 1
170 9 944 74 928 2999 62037 5422 17452 207 23192 439 28925 103 3251 5995 8 251 101 128 3502 453 24 1334 1911 20 964 380 4550 1490 473 31 1706 28 735 15 3 22 45 212 5 34 90 131 17 253 18 120 9 150 4 3 11 1 3 168 16 8 20 1048 2 23 66 1206 172 42 1 17 29 86
3956 3 3213 255 1392 114 5422 82102 11879 170 34166 438 794 104 14781 130 73 933 115 287 202 6576 77 8361 8184 13 1711 1610 56920 6187 25602 26 434 391 1576 31 14 106 118 107 14 55 121 271 27 168 68 56 12 287 7 39 53 26 15 87 81 42 126 1766 4 91 276 1739 374 211 3 52 67 185
1677 4 3675 232 566 827 17452 11879 57624 266 16524 419 3102 110 31371 324 21 1989 150 682 763 1294 44 5838 3723 19 2539 1031 4055 3012 4018 27 3682 49 724 48 10 87 116 95 3 78 183 416 33 162 56 65 17 388 1 20 40 10 16 80 48 21 47 2261 4 80 208 2110 411 146 1 77 74 222
40 1400 14 1389 349 143 207 170 266 11031 149 167 222 320 281 1311 14 54 56 112 91 17 3873 54 24523 919 347 6411 577 453 239 37 60 57 140 6 26 99 84 96 0 14 7 17 10 88 25 55 106 29 0 4 46 11 21 86 13 17 16 283 16 184 516 222 24 25 15 5 8 27
916 8 1103 102 4879 164 23192 34166 16524 149 137947 589 18269 108 11191 279 18 383 149 182 24192 665 32 1784 3348 24 853 579 23328 3508 1801 46 438 51 1426 15 10 44 56 1017 8 167 279 191 43 997 29 599 10 217 15 7 23 3 5 851 28 14 36 2642 5 36 95 3372 235 54 4 22 38 110
71 162 235 228 72 3 439 438 419 167 589 62061 779 9003 713 16 9 1212 9058 6625 247 151 188 664 393 899 7826 3712 335 1199 212 1151 356 18 9780 0 43 16 122 2 4 3 10 14 39 6 410 6 3444 18 4 4 15 177 58 4 6 31 20 204 277 905 1965 140 27 18 494 61 9 42
82 14 79 35 2895 416 28925 794 3102 222 18269 779 80497 161 4147 3613 1 60 185 92 22409 39 14 116 2525 44 383 255 3824 1924 95 42 607 3 1100 0 3 4 21 690 1 66 62 35 21 514 6 590 14 46 13 3 2 0 2 530 3 4 11 902 5 24 38 845 46 10 1 4 6 21
12 476 26 512 22 2 103 104 110 320 108 9003 161 35581 223 13 1 16 100 24 41 9 507 12 289 9782 860 5226 67 387 30 1373 186 0 617 0 97 7 448 1 18 7 0 26 106 8 970 10 9883 49 21 4 4 145 16 0 2 102 1 177 826 502 2255 43 65 8 552 205 2 62
16309 12 3348 393 1287 79 3251 14781 31371 281 11191 713 4147 223 79677 139 25 2640 196 797 1592 1252 102 5894 4019 40 2281 1116 5662 23260 9629 45 1317 148 1241 28 8 85 120 54 3 33 92 244 38 73 22 21 29 260 4 29 35 4 12 35 65 31 70 1678 6 86 239 1358 328 234 2 30 72 166
7 67 27 75 197 3722 5995 130 324 1311 279 16 3613 13 139 3553 0 12 4 20 182 14 94 38 3797 40 56 573 217 134 19 1 749 18 41 1 2 10 7 83 0 6 4 10 3 61 0 65 6 8 0 1 10 4 1 68 5 2 5 138 2 8 53 106 6 3 0 1 1 5
9 17 67 2622 0 0 8 73 21 14 18 9 1 1 25 0 17262 142 5 50 0 3412 10974 23642 1811 2 87 5700 455 38 544 0 2 7 182 2 6 245 374 0 0 8 31 14 7 7 2 0 0 31 2 1963 80 5 20 1 1030 596 4389 401 0 57 2023 358 46 539 0 4 16 78
551 40 10619 189 17 20 251 933 1989 54 383 1212 60 16 2640 12 142 15380 1213 12940 18 1734 173 12667 394 22 5518 13964 580 2195 3979 3 50 223 9217 2 113 587 63 2 0 0 19 18 5 12 5 2 12 15 0 89 427 30 144 0 90 48 221 104 20 1126 2175 75 14 78 12 5 5 50
36 77 303 101 18 2 101 115 150 56 149 9058 185 100 196 4 5 1213 6447 8750 48 74 68 344 140 159 4779 2903 98 280 160 128 49 16 1674 0 62 27 43 1 0 0 5 3 9 1 71 2 328 1 0 5 46 128 127 0 3 11 6 61 120 989 1769 28 1 7 175 4 4 16
139 137 2368 198 12 7 128 287 682 112 182 6625 92 24 797 20 50 12940 8750 21318 44 469 109 1826 209 119 15903 8353 157 794 927 39 18 76 7464 2 310 240 80 1 0 1 7 7 14 2 39 3 117 11 0 21 276 156 467 2 22 37 71 62 186 2257 3608 26 7 30 67 3 2 45
69 4 18 17 37862 51 3502 202 763 91 24192 247 22409 41 1592 182 0 18 48 44 15254 13 7 35 2692 15 135 91 12248 829 53 14 152 1 377 14 1 2 11 1410 2 123 140 98 30 1029 17 732 6 88 13 1 2 3 1 1048 3 2 5 1899 2 3 19 2268 99 12 1 9 12 44
